Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01_LaunchHomepage-1,751,1766,1566,2392,2839,3907,1087,5346,7.057%,.54353,7.60,0.64
01_LaunchHomepage-2,735,577,543,775,1152,1268,260,2236,10.884%,.53931,0.22,0.68
01_LaunchHomepage-3,734,677,620,828,1051,1523,335,2562,0.136%,.53854,0.65,0.85
01_LaunchHomepage,733,3022,2757,3769,4327,5312,2026,7729,12.824%,.53843,8.39,2.16
02_ClickSignIn-1,733,1367,1206,1903,2219,3050,1036,5432,0.000%,.54563,6.27,0.79
02_ClickSignIn-2,733,590,546,655,808,1339,303,2123,0.136%,.54592,0.20,0.76
02_ClickSignIn,733,1958,1766,2538,2873,3748,1452,6043,0.136%,.53909,6.39,1.53
03_EnterCredential&SignIn-1,733,2249,2046,2932,3354,4243,775,9029,4.229%,.54520,9.40,2.00
03_EnterCredential&SignIn-2,700,602,557,715,962,1331,251,1926,4.857%,.53253,0.29,0.89
03_EnterCredential&SignIn-3,699,679,632,798,1065,1389,253,1970,1.574%,.53325,0.62,1.06
03_EnterCredential&SignIn,699,3538,3272,4383,4817,5740,1598,10209,7.868%,.52104,9.86,3.82
04_ClickArt-1,282,1097,985,1345,1594,2299,850,3461,0.000%,.21506,3.46,0.38
04_ClickArt-2,267,579,556,597,688,1155,506,1197,0.000%,.21282,0.11,0.36
04_ClickArt-3,267,664,625,688,906,1416,567,1691,0.000%,.21281,0.14,0.40
04_ClickArt,267,2348,2195,2860,3094,3490,1985,4647,0.000%,.21024,3.64,1.12
04_ClickAccessories-1,217,1956,1844,2351,2599,3362,1620,3513,0.000%,.16928,3.10,0.30
04_ClickAccessories-2,217,596,555,622,813,1303,504,1315,0.000%,.16946,0.09,0.29
04_ClickAccessories-3,217,663,623,738,878,1302,580,1349,0.000%,.16945,0.15,0.33
04_ClickAccessories,217,3216,3058,3762,4001,4711,2766,5074,0.000%,.16693,3.29,0.90
05_ClickArtProd-1,267,1801,1653,2228,2515,2992,1439,8074,0.000%,.21264,4.34,0.40
05_ClickArtProd-2,267,672,628,702,1294,1369,567,1608,0.000%,.21268,0.15,0.41
05_ClickArtProd-3,267,600,555,610,1205,1260,502,1888,0.000%,.21270,0.11,0.38
05_ClickArtProd,267,3074,2867,3663,3794,4694,2571,9260,0.000%,.20957,4.53,1.18
06_AddToCart-1,467,1357,1186,1785,2363,2667,698,3475,0.000%,.37195,0.55,1.22
06_AddToCart-2,667,714,628,826,1212,1853,262,4248,0.150%,.53129,1.88,1.05
06_AddToCart(A),267,1794,1747,2256,2551,2980,1364,4186,0.000%,.21083,1.07,1.12
05_ClickAccessoriesProd-1,217,1792,1658,2121,2573,3191,1465,4294,0.000%,.16928,3.50,0.31
05_ClickAccessoriesProd-2,200,639,559,889,1295,1350,510,2028,0.000%,.18563,0.09,0.32
05_ClickAccessoriesProd-3,200,655,627,682,731,1328,570,1346,0.000%,.18563,0.16,0.37
05_ClickAccessoriesProd,200,3093,2869,3893,4102,4696,2561,5453,0.000%,.17840,3.95,0.99
04_ClickClothes-1,200,1767,1658,2037,2475,2977,1466,4243,0.000%,.17642,2.92,0.31
01_ClickClothes-2,200,612,556,594,834,1399,494,3505,0.000%,.17659,0.09,0.30
01_ClickClothes-3,200,682,633,709,1251,1404,567,1976,0.000%,.17647,0.07,0.31
04_ClickClothes,200,3062,2867,3750,4149,5027,2621,6683,0.000%,.16692,2.91,0.87
07_ContShopping-1,667,1536,1599,2022,2373,2817,763,3726,0.000%,.53090,11.82,1.09
07_ContShopping(A),255,1730,1615,2053,2391,2844,1415,3726,0.000%,.20154,4.41,0.42
05_ClickClothesProd-1,200,1096,949,1345,1585,2309,816,5282,0.000%,.17643,3.65,0.33
05_ClickClothesProd-2,200,604,559,691,957,1184,504,1214,0.000%,.17652,0.09,0.31
05_ClickClothesProd-3,200,684,630,803,1167,1228,569,1809,0.000%,.17650,0.06,0.32
05_ClickClothesProd,200,2385,2202,2797,3151,3989,1960,7026,0.000%,.17472,3.76,0.95
08_ClickCart-1,655,1188,1198,1626,1984,2789,53,3693,0.305%,.52519,6.59,0.98
08_ClickCart-2,650,606,554,645,1156,1351,288,2132,0.462%,.53817,0.28,0.92
08_ClickCart(A),250,1476,1338,1927,2222,2803,1158,3239,0.800%,.21825,2.83,0.78
06_AddToCart(AC),200,2447,2308,3134,3485,4250,1867,5604,0.000%,.18220,0.89,0.95
07_ContShopping(AC),200,987,867,1332,1514,1952,763,2642,0.000%,.18354,3.72,0.37
09_ProceedCheckout-1,650,1809,1779,2350,2675,2998,1205,4956,0.000%,.54140,6.51,1.62
09_ProceedCheckout(A),250,1791,1773,2182,2647,3207,1223,4956,0.000%,.21566,2.59,0.64
06_AddToCart(CL)-1,200,1729,1673,2388,2494,3395,1237,4942,0.000%,.17633,0.30,0.57
06_AddToCart(CL),200,2439,2284,3204,3445,4025,1933,5548,0.500%,.17076,0.90,0.89
08_ClickCart(AC),200,1994,1832,2541,2855,3766,1510,3961,1.500%,.18243,2.37,0.65
10_Cont1st-1,650,1536,1377,1969,2149,2813,273,3518,0.462%,.54106,6.67,2.07
10_Cont1st(A),250,1550,1499,2001,2232,2813,273,3017,1.200%,.21907,2.68,0.84
07_ContShopping(CL),200,1828,1710,2227,2526,2983,1452,3422,0.000%,.17334,4.30,0.36
09_ProceedCheckout(AC),200,1840,1796,2463,2682,2948,1205,3586,0.000%,.18203,2.17,0.55
11_Cont2nd-1,639,1820,1765,2421,2687,3537,1239,4405,0.000%,.54004,6.92,2.09
11_Cont2nd(A),250,2138,2056,2687,2975,3923,1664,4405,0.000%,.21643,2.77,0.84
10_Cont1st(AC),200,1523,1363,1954,2149,2679,827,3518,0.000%,.18368,2.25,0.70
12_PlaceOrder-1,633,1063,1156,1364,1580,2110,575,4485,0.000%,.54533,0.16,1.01
12_PlaceOrder-2,632,1058,622,1904,2200,2737,530,3446,65.506%,.54538,3.07,1.43
12_PlaceOrder-4,632,580,552,589,662,1304,494,2022,0.000%,.54538,0.28,0.97
12_PlaceOrder-5,631,662,626,687,851,1307,552,3409,0.000%,.54540,0.39,1.06
12_PlaceOrder(A),250,3001,2504,4122,4409,4908,2204,5053,65.200%,.21862,1.58,1.80
08_ClickCart(CL),200,2000,1827,2562,2986,4097,1634,4256,0.000%,.17384,2.31,0.62
11_Cont2nd(AC),200,1598,1477,2032,2360,3073,1239,3556,0.000%,.18316,2.32,0.71
09_ProceedCheckout(CL),200,1802,1766,2277,2687,2971,1261,3429,0.000%,.17357,2.11,0.51
13_SignOut-109,631,2191,2077,2725,3205,4035,1690,5698,100.000%,.54473,8.81,1.85
13_SignOut,601,2198,2077,2784,3239,4035,1690,5698,100.000%,.51963,8.41,1.76
10_Cont1st(CL),189,1525,1376,1917,2074,2602,814,3246,0.000%,.16633,2.08,0.63
11_Cont2nd(CL),183,1642,1610,2104,2312,2768,1247,4388,0.000%,.16842,2.18,0.65
12_PlaceOrder(AC),200,3559,3095,4540,4871,5483,2753,6333,67.000%,.17584,1.21,1.44
12_PlaceOrder(CL),181,3655,3399,4656,5056,5811,2764,6124,64.088%,.16307,1.20,1.34
TOTAL,26949,1521,1391,2829,3238,4330,53,10209,9.047%,19.10271,178.62,55.17
